id,name,headquarters,employeesSize,industryType,websiteList/0,websiteList/1,websiteList/2,websiteList/3,happinessScore,reviewScore,jobOffersCount,websiteList/4,websiteList/5,websiteList/6,websiteList/7,websiteList/8,websiteList/9,websiteList/10,websiteList/11
3262e229-a70b-45da-9a46-7964aa4baed6,CCC,"Chicago, IL","1,001 to 5,000",Information Technology,http://www.cccis.com/,,,,,3.7,68,,,,,,,,
192b3318-0d1b-41cf-b54a-9ce997820742,Ascend Learning,Burlington,"501 to 1,000",Education,http://www.ascendlearning.com/,,,,,3.4,112,,,,,,,,
cf7628ce-10ad-4124-b364-e85e2c18d2c6,WillScot | Mobile Mini,"Baltimore, MD","1,001 to 5,000","Construction, Repair & Maintenance Services",https://careers.willscot.com/,https://www.willscot.com/,,,53,3,41,,,,,,,,
59328522-7062-41ab-bcf2-80a4e3b0b723,Turner Motorsport,Amesbury,2 to 10,,https://www.turnermotorsport.com/,,,,,3,34,,,,,,,,
b329b987-bfcc-43e0-b3cd-95edad875709,FedEx Services,"3690 Hacks Cross Rd Memphis, TN","10,000+",Transportation & Logistics,https://www.linkedin.com/company/fedex-services/about/,https://www.instagram.com/fedex/,https://www.fedex.com/en-us/about/working-at-fedex.html,https://careers.fedex.com/services,69,3.9,298,,,,,,,,
6b575442-be82-4a41-9c1b-ca312753b806,Oral Roberts University,"Tulsa, Oklahoma","1,001 to 5,000",Education,http://www.oru.edu/,,,,,4.2,7,,,,,,,,
18523599-02d3-463d-8179-cc0bd60d3071,Things Remembered,"Highland Heights, OH","1,001 to 5,000",Retail & Wholesale,https://www.thingsremembered.com/,,,,68,3.6,502,,,,,,,,
2af292dd-813a-46e4-86f8-e8d1ccc6a0b6,DocuSign,"San Francisco, California","5,001 to 10,000",Information Technology,https://www.docusign.com/company/careers,http://www.docusign.com/,,,,3.7,18,,,,,,,,
7d18cb32-3e13-4733-bdea-4a5cb4c13e3b,NICE,Hoboken,"501 to 1,000",,https://www.nice.com/,,,,,3.9,590,,,,,,,,
45f00526-8e71-4fc4-9fe4-676e20e62a16,Chipton Ross,"343 Main Street El Segundo, CA 90245-3814","501 to 1,000",Human Resources & Staffing,http://www.linkedin.com/company/chipton-ross,http://www.chiptonross.com/,,,,4,1101,,,,,,,,
8674e256-f80d-4397-9e64-23a86b44be40,Verizon,"New York New York, United States","10,000+",Telecommunications,https://www.instagram.com/verizoncareers,https://www.verizon.com/about/careers,https://ad.doubleclick.net/ddm/clk/484855559;291777443;g?https://www.verizon.com/about/careers,,69,3.9,111,,,,,,,,
